case,rows,columns,requested_rank,measured_rank,redundant_rows,paired_output_error,consistent_feasibility_residual,fixed_f_difference,representable_target_roundtrip_error,f_vs_w_gradient_error,f_finite_difference_error,w_finite_difference_error,scaled_trajectory_error,mp_max_residual,inconsistent_tested,inconsistent_paired_error,inconsistent_residual
59,4,6,1,1,3,1.1102230246251565e-16,5.551115123125783e-17,0.4072566364741814,0.0,0.0,1.7944190577878771e-10,2.0508061915336384e-10,3.3306690738754696e-16,5.551115123125783e-17,False,0.0,0.0
60,1,6,1,1,0,2.220446049250313e-16,5.551115123125783e-17,0.8997164200283945,2.7755575615628914e-17,0.0,2.877742488749391e-10,2.587234315676312e-10,2.220446049250313e-16,2.7755575615628914e-17,False,0.0,0.0
61,4,8,3,3,1,1.1102230246251565e-16,4.440892098500626e-16,0.3649733614639692,2.220446049250313e-16,0.0,3.507560908388996e-10,5.35630692577449e-10,2.220446049250313e-16,4.440892098500626e-16,False,0.0,0.0
62,3,7,3,3,0,1.1102230246251565e-16,1.1102230246251565e-16,0.5537861724961142,2.220446049250313e-16,0.0,2.3458864018000014e-10,2.1474411138200367e-10,3.3306690738754696e-16,2.220446049250313e-16,False,0.0,0.0
63,4,8,1,1,3,2.220446049250313e-16,3.122502256758253e-16,0.9880186114144935,2.7755575615628914e-17,0.0,3.9833270015776634e-10,2.6562996247037063e-10,4.440892098500626e-16,1.1102230246251565e-16,True,2.220446049250313e-16,0.3247897683233852
64,6,8,3,3,3,2.220446049250313e-16,2.220446049250313e-16,0.6881794793888424,1.1102230246251565e-16,0.0,3.711565499386893e-10,1.5601397951314766e-10,5.551115123125783e-16,2.220446049250313e-16,False,0.0,0.0
65,9,2,1,1,8,1.1102230246251565e-16,1.1102230246251565e-16,0.7425002549914007,1.1102230246251565e-16,0.0,8.564590703308284e-11,8.564590703308284e-11,4.0592529337857286e-16,1.1102230246251565e-16,False,0.0,0.0
66,4,6,4,4,0,2.220446049250313e-16,2.220446049250313e-16,1.0901180078137709,2.220446049250313e-16,0.0,3.488439537235877e-10,5.393344659765376e-10,4.996003610813204e-16,2.220446049250313e-16,False,0.0,0.0
67,6,4,1,1,5,1.1102230246251565e-16,1.1102230246251565e-16,0.9525750836293791,0.0,0.0,5.998579410970706e-11,5.9926730244797e-11,3.3306690738754696e-16,5.551115123125783e-17,False,0.0,0.0
68,6,2,2,2,4,0.0,0.0,0.0,2.7755575615628914e-17,0.0,9.025742450511657e-18,9.025742450511657e-18,0.0,2.220446049250313e-16,False,0.0,0.0
69,10,6,2,2,8,1.1102230246251565e-16,1.6653345369377348e-16,0.7138941783060748,5.551115123125783e-17,0.0,1.033966245955753e-10,9.120990074329427e-11,3.3306690738754696e-16,2.220446049250313e-16,True,1.6653345369377348e-16,0.2527975683036946
70,7,8,2,2,5,2.220446049250313e-16,5.551115123125783e-16,0.7786268577333475,1.3530843112619095e-16,0.0,3.092480715949364e-10,1.8256440803554597e-10,3.3306690738754696e-16,4.440892098500626e-16,False,0.0,0.0
